"Name","Created","Runtime","End Time","ID","Notes","Updated","Tags","learning_rate","accuracy","f1","precision","recall","train.avg_loss","val.accuracy","val.avg_loss","val.f1_score","val.precision","val.recall","val.loss"
"Name: E1-LR-0.0001-NO_RELU","2024-05-20T14:48:28.000Z","949","2024-05-20T15:04:17.000Z","E1-LR-0.0001-NO_RELU","Experiment 1, lr-0.0001 without relu on fc layers, run 4","2024-05-20T15:04:17.000Z","","0.0001","0.71994","0.7190167747655496","0.7259810400000001","0.71994","0.020811176724255087","0.71994","0.025698079624772073","0.7208632252344506","0.7295213370551441","0.71994",""
"Name: E1-LR-0.0026-NO_RELU","2024-05-20T15:04:26.000Z","911","2024-05-20T15:19:37.000Z","E1-LR-0.0026-NO_RELU","Experiment 1, lr-0.0026 without relu on fc layers, run 4","2024-05-20T15:19:37.000Z","","0.0026","0.6674000000000001","0.670013473530095","0.6841410000000001","0.6674000000000001","0.02672148077261448","0.6674000000000001","0.030290655884742737","0.664786526469905","0.6737883476776547","0.6674000000000001",""
"Name: E1-LR-0.0051-NO_RELU","2024-05-20T15:19:46.000Z","899","2024-05-20T15:34:45.000Z","E1-LR-0.0051-NO_RELU","Experiment 1, lr-0.0051 without relu on fc layers, run 4","2024-05-20T15:34:45.000Z","","0.0051","0.50934","0.5219185668882454","0.5773732800000001","0.50934","0.0408245565943718","0.50934","0.042901586682796485","0.49676143311175464","0.5367736302530421","0.50934",""
"Name: E1-LR-0.0077-NO_RELU","2024-05-20T15:34:54.000Z","902","2024-05-20T15:49:56.000Z","E1-LR-0.0077-NO_RELU","Experiment 1, lr-0.0077 without relu on fc layers, run 4","2024-05-20T15:49:56.000Z","","0.0077","0.21532","0.2710101242829308","0.7940191200000001","0.21532","0.06396206112337112","0.21532","0.06385942717790603","0.15962987571706924","0.1709839430205428","0.21532",""
"Name: E1-LR-0.01-NO_RELU","2024-05-20T15:50:05.000Z","896","2024-05-20T16:05:01.000Z","E1-LR-0.01-NO_RELU","Experiment 1, lr-0.01 without relu on fc layers, run 4","2024-05-20T16:05:01.000Z","","0.01","0.1","0.18181818181818185","1","0.1","0.07228284830951691","0.1","0.0723195024061203","0.01818181818181818","0.01","0.1",""
